Unit Name,Nation,Type,Year,Cost,Def,Speed,Veh S,Veh M,Veh L,Per S,Per M,Per L,Abilities
Soviet Conscript,USSR,Soldier,1939,2,4/4,1,2,-,-,8,5,-,"Command Dependent, Close Assault 6, Green"
Soviet Grenadiers,USSR,Soldier,1939,4,4/4,1,2,-,-,8,6,-,"Limited Range 2, Hand to Hand 9, , Close Assault 7"
Soviet-Polish Infantry,USSR,Soldier,1943,3,4/4,1,2,-,-,8,6,-,Close Assault 6
Veteran NCO,USSR,Soldier Commander,1942,6,4/4,1,2,-,-,8,7,-,"Limited Range 2, Hand to Hand 9, COMMANDER ABILITIES:2, Fearless"
ZIS-2 57mm Model 1943,USSR,Soldier Artillery,1943,7,3/3,0,11,9,8,3,3,3,Relocate 2
BA-10M,USSR,Vehicle Armored Car,1939,12,2/2,4,9,7,6,7,6,4,"High Gear 2, Aggression 1"
BA-64,USSR,Vehicle Armored Car,1942,8,2/2,4,2,2,2,7,6,4,"High Gear 3, Aggression 2"
BM-13 Katyusha Rocket Launcher,USSR,Vehicle Artillery,1941,12,1/1,4,-,6,6,-,13,11,"Inaccurate 1, Enhanced Range 16, Bombardment, Blast, Rocket Salvo"
BT-5,USSR,Vehicle Tank,1939,10,2/2,5,10,8,7,6,6,4,Excellent Suspension
BT-7,USSR,Vehicle Tank,1939,13,3/2,5,10,8,7,7,7,6,"High Gear 1, Excellent Suspension"
Guards T-34/76,USSR,Vehicle Tank,1941,30,5/5,4,13,11,10,7,7,6,"Exposed Transport, Superior Armor 2, Guard Crew"
Guards T-34/85,USSR,Vehicle Tank,1944,34,6/5,4,14,12,10,7,7,6,"Guard Crew, Superior Armor 2, Exposed Transport"
IS-2 Model 1944,USSR,Vehicle Tank,1944,61,7/7,3,18,15,12,8,8,7,Superior Armor 2
IS-2 Veteran,USSR,Vehicle Tank,1944,67,7/7,3,18,15,12,8,8,7,"Superior Armor 2, Veteran Guard, Extended Range 10"
IS-3,USSR,Vehicle Tank,1945,71,7/7,3,18,15,12,9,9,7,"HE Round, Superior Armor 3"
ISU-122,USSR,Vehicle Tank Destroyer,1944,43,6/6,3,16,14,11,8,8,7,"Fixed Howitzer, Heavy Armor"
KV-1,USSR,Vehicle Tank,1941,32,6/6,3,13,11,10,9,9,7,"Exposed Transport, Heavy Armor"
KV-2 Model 1940,USSR,Vehicle Tank,1941,46,6/5,3,15,13,10,11,11,9,"Heavy Armor, Bombardment, Tall Silhouette, Turret Lock"
KV-85,USSR,Vehicle Tank,1943,35,6/6,3,14,12,10,9,9,7,Heavy Armor
Lend Lease Half-Track,USSR,Vehicle Half-Track,1943,8,2/2,4,3,3,3,8,7,6,"Gun Transport, High Gear 2, Fighting Platform"
Polish SU-85,USSR,Vehicle Tank Destroyer,1944,22,5/5,4,14,12,10,4,-,-,"No Turret, Superior Armor 2"
Soviet M3 Lee,USSR,Vehicle Tank,1942,30,5/4,3,9,7,5,9,9,7,"Exposed Transport, Additional Hull-Mounted Cannon, Tall Silhouette"
SU-122,USSR,Vehicle Assault Gun,1943,22,5/5,4,10,7,5,8,8,6,"Fixed Howitzer, Superior Armor 2, Bombardment, Blast"
SU-152,USSR,Vehicle Assault Gun,1943,51,6/6,3,15,13,10,11,11,9,"Fixed Howitzer, Bombardment, Limited Ammo, Heavy Armor"
SU-76M,USSR,Vehicle Tank Destroyer,1943,16,4/4,4,13,11,10,7,7,6,"No Turret, Open Back"
SU-85,USSR,Vehicle Tank Destroyer,1943,22,5/5,4,14,12,10,4,-,-,"No Turret, Superior Armor 2"
T-26B,USSR,Vehicle Tank,1939,11,2/2,3,9,8,6,7,7,6,-
T-28,USSR,Vehicle Tank,1939,16,4/3,2,10,8,7,9,9,7,"Poor Suspension, Overlapping Fire, Extra Machine Guns"
T-34/76,USSR,Vehicle Tank,1941,28,5/5,4,13,11,10,7,7,6,"Exposed Transport, Superior Armor 2"
T-34/76 Commander,USSR,Vehicle Tank Commander,1941,38,5/5,4,13,11,10,7,7,6,"Superior Armor 2, Exposed Transport, COMMANDER ABILITIES:2, Command Awareness"
T-34/76 Model 1942,USSR,Vehicle Tank,1942,30,6/5,4,13,11,10,7,7,6,"Exposed Transport, Superior Armor 2"
T-34/85,USSR,Vehicle Tank,1944,32,6/5,4,14,12,10,7,7,6,"Exposed Transport, Superior Armor 2"
T-35,USSR,Vehicle Tank,1941,18,4/2,2,10,9,7,10,10,8,"Weak Suspension, Overlapping Fire, Multiturreted"
T-38 Light Amphibious Tank,USSR,Vehicle Tank,1939,6,2/2,4,2,2,2,6,6,4,"Amphibious, Low Silhouette"
T-70 Model 1942,USSR,Vehicle Tank,1942,12,4/3,5,9,7,6,5,5,4,Undermanned
Valentine VI,USSR,Vehicle Tank,1941,16,5/5,3,9,8,6,5,5,4,Robust
Veteran SU-76M,USSR,Vehicle Tank Destroyer,1943,20,4/4,4,13,11,10,7,7,6,"No Turret, Open Back, Veteran Crew"
ZIS-42 Half Track,USSR,Vehicle Half-Track,1942,4,1/1,4,-,-,-,-,-,-,"High Gear 1, Large Transport"
ZIS-5 3 Ton,USSR,Vehicle,1939,4,1/1,3,-,-,-,-,-,-,"High Gear 2, Large Transport"
Yugoslav Partisan Commander,Yugoslavia,Soldier Commander,1941,6,4/4,1,2,-,-,6,-,-,"Partisan, Close Assault 5, COMMANDER ABILITIES:1, Dispersal"
Yugoslav Partisan Infantry,Yugoslavia,Soldier,1941,3,4/4,1,2,-,-,7,5,-,"Partisan, Close Assault 5, Subtle"
